date,flight_id,callsign,icao24,operation,runway,event_time,event_time_utc,event_lat,event_lon,event_geoaltitude_m,threshold_lat,threshold_lon,threshold_distance_m,comparison_time,comparison_time_utc,comparison_geoaltitude_m,altitude_delta_m,distance_delta_m
2026-04-01,FDX1723M1a0bd33,FDX1723M1,a0bd33,arrival,18R,1775037539,2026-04-01T09:58:59Z,32.93833923339844,-97.02586669921874,304.8,32.915813194444446,-97.05464552777778,3672.6814900796016,1775035319,2026-04-01T09:21:59Z,10690.86,-10386.060000000001,-411342.34283279825
2026-04-01,GTI8102M2a6329d,GTI8102M2,a6329d,departure,17L,1775037539,2026-04-01T09:58:59Z,32.901580810546875,-97.05080566406248,160.02,32.89832038888889,-97.00977861111112,3847.467110304338,1775039279,2026-04-01T10:27:59Z,9799.320000000002,9639.300000000001,386683.6133809229
2026-04-01,AAL2159M1a3661f,AAL2159M1,a3661f,arrival,17L,1775037719,2026-04-01T10:01:59Z,32.91911315917969,-97.0259216308594,182.88,32.89832038888889,-97.00977861111112,2759.8169616748346,1775035499,2026-04-01T09:24:59Z,9806.94,-9624.060000000001,-353549.5679291493
2026-04-01,AAL1091M1a129dc,AAL1091M1,a129dc,departure,18R,1775037779,2026-04-01T10:02:59Z,32.87699890136719,-97.03009643554684,502.92,32.915813194444446,-97.05464552777778,4886.8044177692045,1775039519,2026-04-01T10:31:59Z,10995.66,10492.74,344916.2480134945
2026-04-01,FFT1650M1a3d7dc,FFT1650M1,a3d7dc,arrival,18R,1775037839,2026-04-01T10:03:59Z,32.927235748808265,-97.05064423230232,251.46,32.915813194444446,-97.05464552777778,1323.9013502662258,1775035739,2026-04-01T09:28:59Z,11673.840000000002,-11422.380000000003,-356683.9464908066
2026-04-01,FDX1471M1a304d8,FDX1471M1,a304d8,arrival,17L,1775037959,2026-04-01T10:05:59Z,32.92369777873411,-97.02592499402108,220.98,32.89832038888889,-97.00977861111112,3199.156856029644,1775035739,2026-04-01T09:28:59Z,10713.72,-10492.74,-387283.13737803337
2026-04-01,AAL3062M1a0de99,AAL3062M1,a0de99,arrival,17L,1775038139,2026-04-01T10:08:59Z,32.90606689453125,-97.02603149414062,167.64,32.89832038888889,-97.00977861111112,1744.8007058956214,1775035679,2026-04-01T09:27:59Z,11018.52,-10850.880000000001,-449773.7696033631
2026-04-01,N53APM1a6ae22,N53APM1,a6ae22,arrival,13L,1775038259,2026-04-01T10:10:59Z,32.932915121822035,-97.06516188018172,693.4200000000001,32.91255472222222,-97.02147836111112,4663.693052672,1775035379,2026-04-01T09:22:59Z,5349.240000000001,-4655.820000000001,-363411.6506861337
2026-04-01,AAL6M1ab148e,AAL6M1,ab148e,arrival,17L,1775038619,2026-04-01T10:16:59Z,32.93235649496822,-97.02592499402108,259.08,32.89832038888889,-97.00977861111112,4073.712769250389,1775036639,2026-04-01T09:43:59Z,12839.7,-12580.62,-378291.00432986853
2026-04-01,AAL116M1aaf828,AAL116M1,aaf828,arrival,17L,1775038799,2026-04-01T10:19:59Z,32.925094345868644,-97.05070028499682,228.6,32.89832038888889,-97.00977861111112,4843.1095865496145,1775036759,2026-04-01T09:45:59Z,12252.96,-12024.359999999999,-380636.4366562674
2026-04-01,UAL2260M1a46603,UAL2260M1,a46603,departure,18R,1775038799,2026-04-01T10:19:59Z,32.903961181640625,-97.0299865722656,152.40000000000003,32.915813194444446,-97.05464552777778,2652.4972726166934,1775041079,2026-04-01T10:57:59Z,190.5,38.099999999999966,358662.80842863605
2026-04-01,AAL2056M1a11b00,AAL2056M1,a11b00,arrival,17L,1775038919,2026-04-01T10:21:59Z,32.915863037109375,-97.02597656249998,160.02,32.89832038888889,-97.00977861111112,2468.122107579528,1775036759,2026-04-01T09:45:59Z,9791.7,-9631.68,-352155.76162163186
2026-04-01,AAL2468M1a4e6c0,AAL2468M1,a4e6c0,arrival,17L,1775039039,2026-04-01T10:23:59Z,32.911376953125,-97.05080566406248,167.64,32.89832038888889,-97.00977861111112,4096.06338802607,1775036459,2026-04-01T09:40:59Z,10378.44,-10210.800000000001,-492193.7411540649
2026-04-01,AAL1042M1a37ea4,AAL1042M1,a37ea4,departure,17L,1775039159,2026-04-01T10:25:59Z,32.867523193359375,-97.02960205078124,571.5,32.89832038888889,-97.00977861111112,3892.7784560013656,1775040959,2026-04-01T10:55:59Z,11635.74,11064.24,369407.317674736
